epoch,train_loss,val_loss
1,0.07224789339861723,0.024646490381325104
2,0.014452711938146772,0.009363033587375742
3,0.006351060551908596,0.005381001421529357
4,0.0041327523036376055,0.004914035063484911
5,0.003348572462974064,0.0037187958488952245
6,0.002949996176565992,0.004200569925927181
7,0.0026528156937396558,0.004201628740068094
8,0.002279465243626157,0.0031873202729946603
9,0.0021195999024092487,0.003296195378116732
10,0.002039202565962043,0.002359955685239775
11,0.0018625970940266909,0.0032578539940869514
12,0.0018186548642824564,0.0020536669997111693
13,0.001709432861970623,0.001864790316839391
14,0.0016457552268487198,0.002081152335438057
15,0.001496958761611256,0.002601398179815306
16,0.001500024201931151,0.0020124934899300433
17,0.0014804331417970734,0.0015216663091630923
18,0.0014040470193530427,0.0017245772893196665
19,0.0013410947407861162,0.0016348818141786992
20,0.0013339539310848081,0.002253701477186096
21,0.0013406288638377988,0.0013594706409954705
22,0.001329871595384522,0.0016425492565949019
23,0.0012337534860109485,0.001316213418903765
24,0.0011652050333035141,0.0017549355946800032
25,0.001170079254638924,0.0014028224688932512
26,0.001287335600292924,0.0016143140798174848
27,0.0013655255298915855,0.0013417269572949188
28,0.0011813508444231565,0.0017892795566191954
29,0.0011170288126437025,0.0012532041870093006
30,0.00111242564819108,0.0012629325603092127
31,0.001027715622770012,0.0014812314081066266
32,0.001064920699738965,0.0011883154611078146
33,0.0010138952048422572,0.0011775085478194541
34,0.0010205580049725094,0.0014550163733098426
35,0.0010682865242374925,0.0012157098441820137
36,0.0011257137088677403,0.0011652769209453968
37,0.0010406829436262809,0.001168499957908848
38,0.00111389601012619,0.001158251174727068
39,0.0010176317639487623,0.0010764379389716899
40,0.0009569985831062721,0.0012726784796673928
41,0.0009415097060540493,0.0012502345671986485
42,0.0009663467292866394,0.0010786208552168166
43,0.0009650656926789055,0.0010522704454516718
44,0.0010179887149826359,0.0010353612994683668
45,0.0009439315705419669,0.0010218623637778185
46,0.0009272223361897901,0.0010612984610390856
47,0.000865035848145753,0.001111288049639086
48,0.0008644814033311006,0.0010676699206779124
49,0.0009900083397280986,0.001059070602206959
50,0.0009109051181419685,0.0011078768596864894
51,0.000907555093999182,0.000969696340185078
52,0.0008843853770541912,0.0012743707603100458
53,0.0008648593806630448,0.001106739455056207
54,0.0008712036046719792,0.0009781835540219929
55,0.000846014541571221,0.0009075497275605065
56,0.0008981521994489448,0.000980194341081376
57,0.0009199896937902163,0.0010206791850488792
58,0.000891001001728813,0.0009245202504319808
59,0.0008283033948157545,0.0009268581344732769
60,0.000833413982438704,0.0009363789316901432
61,0.0008867164588580169,0.001023815090217511
62,0.0008895800792346787,0.0009263809202106082
63,0.0008264309341639447,0.0009959044529747943
64,0.000810286102298772,0.0010662031461072942
65,0.0008487821503948192,0.00090116808185776
