epoch,train_loss,val_loss
1,0.07109413524496488,0.034252694924546495
2,0.028501051651865412,0.024611499499995998
3,0.022953849512688276,0.021440508086145775
4,0.021164792622101372,0.01999085694964733
5,0.01901713751839193,0.01811521322940212
6,0.018553902712447685,0.01882079873889354
7,0.016549497882330885,0.0227276817784776
8,0.013770103440021669,0.03176426927657966
9,0.01275781952052809,0.026970655097967092
10,0.011989131512630253,0.03409476205116217
11,0.011109548473116739,0.03415448583438166
12,0.010135013307314679,0.038708572442718615
13,0.010013940364288884,0.03181046160106236
14,0.009759079164424755,0.04230971526348647
15,0.00956782706539724,0.035673072954223575
