epoch,train_loss,val_loss
1,0.07124036881427526,0.0344985080100655
2,0.028411279352350608,0.026839287119154506
3,0.019971879940042948,0.045756260308004594
4,0.01456914378756751,0.047155454329756666
5,0.012415452672990674,0.05342491922188674
6,0.011217122137879527,0.05077085726659763
7,0.010507113159785057,0.052709590625932966
8,0.009334784287272552,0.06115796722223755
9,0.00917184413228621,0.05651912296843226
10,0.009044238997821035,0.05695541813473694
11,0.008255931926506192,0.060880462135735856
12,0.0081472394779824,0.05485452956589391
