index,true_label,predicted_label,category,anomaly_score,decision_score
0,0,0,TN,-0.11196224990340353,0.11196224990340353
1,0,0,TN,-0.10579683273564344,0.10579683273564344
2,0,0,TN,-0.06369847161012088,0.06369847161012088
3,0,0,TN,-0.06887130895799576,0.06887130895799576
4,0,0,TN,-0.07456440866126768,0.07456440866126768
5,0,0,TN,-0.07295620247826473,0.07295620247826473
6,0,0,TN,-0.0813774581467121,0.0813774581467121
7,0,0,TN,-0.08517800591264318,0.08517800591264318
8,0,0,TN,-0.08597171194383091,0.08597171194383091
9,0,0,TN,-0.08868605496770499,0.08868605496770499
10,0,0,TN,-0.10431775082508088,0.10431775082508088
11,0,0,TN,-0.10722981574967233,0.10722981574967233
12,0,0,TN,-0.11736437955842649,0.11736437955842649
13,0,0,TN,-0.1256478417918589,0.1256478417918589
14,0,0,TN,-0.1288955345404899,0.1288955345404899
15,0,0,TN,-0.11933878165009532,0.11933878165009532
16,0,1,FP,0.03659037265580467,-0.03659037265580467
17,0,1,FP,0.019387089093253596,-0.019387089093253596
18,0,1,FP,0.0066610717301578415,-0.0066610717301578415
19,0,0,TN,-0.03080848843439371,0.03080848843439371
20,0,0,TN,-0.03844990423256228,0.03844990423256228
21,0,0,TN,-0.04511389249963638,0.04511389249963638
22,0,0,TN,-0.03518452173023101,0.03518452173023101
23,0,0,TN,-0.05887226910677518,0.05887226910677518
24,0,0,TN,-0.06014982490594928,0.06014982490594928
25,0,0,TN,-0.058206769506307876,0.058206769506307876
26,0,0,TN,-0.06287291551861407,0.06287291551861407
27,0,0,TN,-0.08355486876296242,0.08355486876296242
28,0,0,TN,-0.09750600984763885,0.09750600984763885
29,0,0,TN,-0.10540382431767242,0.10540382431767242
30,0,0,TN,-0.10771724946999645,0.10771724946999645
31,0,0,TN,-0.0990241656733164,0.0990241656733164
32,0,0,TN,-0.08143914850364087,0.08143914850364087
33,0,0,TN,-0.0529638291431449,0.0529638291431449
34,0,0,TN,-0.11818751738596556,0.11818751738596556
35,0,0,TN,-0.11893892024668978,0.11893892024668978
36,0,0,TN,-0.11834231070575568,0.11834231070575568
37,0,0,TN,-0.10020870763151879,0.10020870763151879
38,0,0,TN,-0.10821125751416721,0.10821125751416721
39,0,0,TN,-0.10788851330529187,0.10788851330529187
40,0,0,TN,-0.10836399604680086,0.10836399604680086
41,0,0,TN,-0.11318206738147485,0.11318206738147485
42,0,0,TN,-0.09544898657075357,0.09544898657075357
43,0,0,TN,-0.11976779069754712,0.11976779069754712
44,0,0,TN,-0.11907355239779455,0.11907355239779455
45,0,0,TN,-0.1036093915780733,0.1036093915780733
46,0,0,TN,-0.06978220736862989,0.06978220736862989
47,0,0,TN,-0.0875478938700941,0.0875478938700941
48,0,0,TN,-0.0918103617987453,0.0918103617987453
49,0,0,TN,-0.08888045015211621,0.08888045015211621
50,0,0,TN,-0.10001808386880345,0.10001808386880345
51,0,0,TN,-0.10904282626154299,0.10904282626154299
52,0,0,TN,-0.07743387247144412,0.07743387247144412
53,0,0,TN,-0.07446091440690655,0.07446091440690655
54,0,0,TN,-0.04868233270989902,0.04868233270989902
55,0,0,TN,-0.055300387177594224,0.055300387177594224
56,0,0,TN,-0.06952233844442268,0.06952233844442268
57,0,0,TN,-0.08082575418146459,0.08082575418146459
58,0,0,TN,-0.09249330154010277,0.09249330154010277
59,0,0,TN,-0.09952093300922932,0.09952093300922932
60,0,0,TN,-0.10656745217950692,0.10656745217950692
61,0,0,TN,-0.09958364042086637,0.09958364042086637
62,0,0,TN,-0.08479379787689839,0.08479379787689839
63,0,0,TN,-0.061922774247476775,0.061922774247476775
64,0,1,FP,0.012231047258881023,-0.012231047258881023
65,0,1,FP,0.03446639313159727,-0.03446639313159727
66,0,1,FP,0.030970316612134785,-0.030970316612134785
67,0,1,FP,0.04595073445136255,-0.04595073445136255
68,0,0,TN,-0.1310760732454348,0.1310760732454348
69,0,0,TN,-0.12828874996986778,0.12828874996986778
70,0,0,TN,-0.10972841663378763,0.10972841663378763
71,0,0,TN,-0.09887611380172245,0.09887611380172245
72,0,0,TN,-0.06296070882716431,0.06296070882716431
73,0,1,FP,0.0036567683396950823,-0.0036567683396950823
74,0,1,FP,0.005102587881907539,-0.005102587881907539
